rcid,company,factset_entity_id,clean_company,Matched_Excel_Company_ID
688977,"Kirkland's, Inc.",0022BW-E,kirklands inc,IQ30558
347418,CyberArk Software Ltd.,07731L-E,cyberark software ltd,IQ64782764
949694,"Computer Task Group, Inc.",000F2Q-E,computer task group inc,IQ263171
154422,"Integrity Media, Inc.",001B9Y-E,integrity media inc,IQ205305
1235260,Deere & Co.,000FMM-E,deere co,IQ266112
260743,"Celldex Therapeutics, Inc.",07F401-E,celldex therapeutics inc,IQ9620565
208520,Bank of Montreal,000CKX-E,bank of montreal,IQ19053
53598,"Novavax, Inc.",001715-E,novavax inc,IQ350381
37526,"Oak Street Health, Inc.",00F82C-E,oak street health inc,IQ225323712
75892,"AIM ImmunoTech, Inc.",0014KP-E,aim immunotech inc,IQ97799
953100,"Neurocrine Biosciences, Inc.",0013YM-E,neurocrine biosciences inc,IQ32073
66267,"SIGA Technologies, Inc.",001M2B-E,siga technologies inc,IQ370941
929633,"Groupon, Inc.",0736TJ-E,groupon inc,IQ82311805
611818,"VBI Vaccines, Inc.",0G7LD3-E,vbi vaccines inc,IQ289036322
22263667,"Unity Software, Inc.",0MRG1B-E,unity software inc,IQ241908542
987431,"Build-A-Bear Workshop, Inc.",0068QT-E,buildabear workshop inc,IQ122203
1093338,"Upwork, Inc.",0F07DJ-E,upwork inc,IQ425007667
929356,"Gaia, Inc.",002L2R-E,gaia inc,IQ213968
382011,"Urban Outfitters, Inc.",000Y6D-E,urban outfitters inc,IQ330706
218708,"Cable One, Inc.",05RPMV-E,cable one inc,IQ679139
1361481,"Asbury Automotive Group, Inc.",003BQ1-E,asbury automotive group inc,IQ25109
121843,"Nelnet, Inc.",004WJ2-E,nelnet inc,IQ4279195
21012406,Medtronic Plc,0DRH2W-E,medtronic plc,IQ31348
892139,"Pegasystems, Inc.",0015K9-E,pegasystems inc,IQ350216
1389298,"Rocky Brands, Inc.",0014S9-E,rocky brands inc,IQ322807
709340,Century Aluminum Co.,0013M0-E,century aluminum co,IQ356264
22178039,"Philip Morris International, Inc.",072GKL-E,philip morris international inc,IQ6569181
515046,iRobot Corp.,006MGK-E,irobot corp,IQ544315
1360394,"Lakeland Industries, Inc.",000NYW-E,lakeland industries inc,IQ283893
20965286,Atlanticus Holdings Corp.,07X89T-E,atlanticus holdings corp,IQ400461
810068,Enovis Corp.,0025Z9-E,enovis corp,
441431,Molson Coors Beverage Co.,006W68-E,molson coors beverage co,IQ263765
635563,Chevron Corp.,000DP6-E,chevron corp,IQ129798937
1462881,"ACADIA Pharmaceuticals, Inc.",0033SF-E,acadia pharmaceuticals inc,IQ683713
304050,"Orgenesis, Inc.",00BYTX-E,orgenesis inc,IQ54616608
1305690,"ConforMIS, Inc.",006GY5-E,conformis inc,IQ22001832
532444,Edwards Lifesciences Corp.,002Q6V-E,edwards lifesciences corp,IQ411220
153413,"Reliv' International, Inc.",0013ZH-E,reliv international inc,IQ342310
1367292,"Williams-Sonoma, Inc.",000YWZ-E,williamssonoma inc,IQ314400
279872,McKesson Corp.,000PM1-E,mckesson corp,IQ288195
1420415,"Cracker Barrel Old Country Store, Inc.",07HRY8-E,cracker barrel old country store inc,IQ264897
1240147,"Astec Industries, Inc.",000CCG-E,astec industries inc,IQ251951
1335800,"Sprout Social, Inc.",09R39L-E,sprout social inc,IQ105773546
512243,"Jack in the Box, Inc.",002Q2Z-E,jack in the box inc,IQ316829
293054,Ball Corp.,000CJY-E,ball corp,IQ170352
148846,The J. M. Smucker Co.,000WMS-E,the j m smucker co,IQ303591
997908,"Itron, Inc.",0011NL-E,itron inc,IQ30323
1009716,Cedar Fair LP,000DGT-E,cedar fair lp,IQ96760
870909,"Green Brick Partners, Inc.",008V3T-E,green brick partners inc,IQ142898861
63513,"Cheesecake Factory, Inc.",00152X-E,cheesecake factory inc,IQ319496
564731,"Jack Henry & Associates, Inc.",000LMZ-E,jack henry associates inc,IQ277617
753877,"VeriSign, Inc.",001VHN-E,verisign inc,IQ36216
982102,"Heartland Financial USA, Inc.",0014KM-E,heartland financial usa inc,IQ528408
835057,"Personalis, Inc.",00DD8T-E,personalis inc,IQ139360745
471501,"Best Buy Co., Inc.",000CSN-E,best buy co inc,IQ255397
1128570,Plexus Corp.,000THT-E,plexus corp,IQ102348
350837,Lindsay Corp.,000P6Q-E,lindsay corp,IQ285016
776659,Cabot Corp.,000D61-E,cabot corp,IQ172131
195887,Check Point Software Technologies Ltd.,001K11-E,check point software technologies ltd,IQ26399
676468,"Evergy, Inc.",0H67KD-E,evergy inc,IQ283024
734388,"Brighthouse Financial, Inc.",0GKYGX-E,brighthouse financial inc,IQ379475737
932173,"Bel Fuse, Inc.",000CQ1-E,bel fuse inc,IQ254235
22141982,Abbott Laboratories,000BG2-E,abbott laboratories,IQ247483
1322313,"Root, Inc.",0FF61L-E,root inc,IQ638035157
1311350,Intel Corp.,000N01-E,intel corp,IQ21127
291535,"Omnicom Group, Inc.",000SVP-E,omnicom group inc,IQ96161
282642,"Resources Connection, Inc.",003129-E,resources connection inc,IQ97493
1191500,Wells Fargo & Co.,000RGR-E,wells fargo co,IQ292891
20946352,"LL Flooring Holdings, Inc.",062R1V-E,ll flooring holdings inc,
1017034,CVS Health Corp.,001HHK-E,cvs health corp,IQ93625
1000539,International Paper Co.,000N29-E,international paper co,IQ61036
893202,CEL-SCI Corp.,0012QB-E,celsci corp,IQ258746
1415839,Psychemedics Corp.,000V1M-E,psychemedics corp,IQ298401
1400269,"MetLife, Inc.",002PV7-E,metlife inc,IQ185648
1022248,Avery Dennison Corp.,000CGC-E,avery dennison corp,IQ252978
960049,"Viavi Solutions, Inc.",002KXQ-E,viavi solutions inc,IQ96079
22147976,"Alphatec Holdings, Inc.",007Y80-E,alphatec holdings inc,IQ21766771
442731,"Charter Communications, Inc.",068SR5-E,charter communications inc,IQ19609
1052963,"Turning Point Brands, Inc.",005W2Y-E,turning point brands inc,IQ10004497
1031573,"Kontoor Brands, Inc.",0KRVR1-E,kontoor brands inc,IQ577318955
73989,"AMETEK, Inc.",000C32-E,ametek inc,IQ31860
22143574,"Boston Beer Co., Inc.",001CBK-E,boston beer co inc,IQ339946
1035416,Valley National Bancorp,000Y8X-E,valley national bancorp,IQ311514
381467,Nova Ltd.,003575-E,nova ltd,IQ539017329
71126,"Chimerix, Inc.",004SBT-E,chimerix inc,IQ3280635
1359028,Compugen Ltd.,00356F-E,compugen ltd,IQ166115
1443159,"Comstock, Inc.",0036CJ-E,comstock inc,IQ4765993
475155,Haemonetics Corp.,001733-E,haemonetics corp,IQ94613
1292986,"Zuora, Inc.",009XCW-E,zuora inc,IQ40383930
628187,"One Stop Systems, Inc.",0646Y1-E,one stop systems inc,IQ9899063
952591,"CMTSU Liquidation, Inc.",0011LH-E,cmtsu liquidation inc,IQ329062
1238939,"Church & Dwight Co., Inc.",000DQG-E,church dwight co inc,IQ261105
21022694,"Herc Holdings, Inc.",0GCPCS-E,herc holdings inc,IQ320141334
642206,ArcBest Corp.,000C9D-E,arcbest corp,IQ25063
22256419,"Aterian, Inc.",0KYRFG-E,aterian inc,IQ378817337
600328,"Tyson Foods, Inc.",000XZR-E,tyson foods inc,IQ190636
562419,"Energizer Holdings, Inc.",00GLK2-E,energizer holdings inc,IQ262857074
1155737,IMAX Corp.,001H76-E,imax corp,IQ29780
186261,Deckers Outdoor Corp.,0014G8-E,deckers outdoor corp,IQ327333
682364,"The Children's Place, Inc.",001QX0-E,the childrens place inc,IQ35335
30961,LifeVantage Corp.,001611-E,lifevantage corp,IQ3188823
180932,"Stanley Black & Decker, Inc.",088S35-E,stanley black decker inc,IQ304977
675968,"Hasbro, Inc.",000LJT-E,hasbro inc,IQ277746
512590,"Illinois Tool Works, Inc.",000M15-E,illinois tool works inc,IQ280561
364664,Meritage Homes Corp.,001GPX-E,meritage homes corp,IQ178296
22142390,International Business Machines Corp.,000N1N-E,international business machines corp,IQ112350
545994,Clean Energy Fuels Corp.,008LTG-E,clean energy fuels corp,IQ1543272
160591,"Acer Therapeutics, Inc.",0HFQ50-E,acer therapeutics inc,IQ254831560
331159,"Insperity, Inc.",001DBB-E,insperity inc,IQ24320
154145,"Aware, Inc. (Massachusetts)",00180M-E,aware inc,IQ348808
1395870,"Global Water Resources, Inc.",00B72K-E,global water resources inc,IQ114656494
1149276,Brown-Forman Corp.,000D2K-E,brownforman corp,IQ256839
932371,"Cadence Design Systems, Inc.",000D69-E,cadence design systems inc,IQ25941
855622,Astrotech Corp.,0011C9-E,astrotech corp,IQ34592
800618,"Avnet, Inc.",000CGH-E,avnet inc,IQ253018
212624,"Covetrus, Inc.",0JLSZJ-E,covetrus inc,IQ595071570
700260,"Bottomline Technologies, Inc.",0028JG-E,bottomline technologies inc,IQ397072
471430,"Conduent, Inc.",0GCKSW-E,conduent inc,IQ323756013
381043,"Asana, Inc.",08BFN8-E,asana inc,IQ81838153
1318947,"Krispy Kreme, Inc.",06HXY9-E,krispy kreme inc,IQ411254
22144166,"Carter's, Inc.",002260-E,carters inc,IQ3004786
607865,"Stride, Inc.",007TQY-E,stride inc,IQ4973712
651754,"NETGEAR, Inc.",00317Y-E,netgear inc,IQ166754
1108805,"Biora Therapeutics, Inc.",0DTJ18-E,biora therapeutics inc,
799,"Sumo Logic, Inc.",0BW6ZR-E,sumo logic inc,IQ113903614
1141065,Cintas Corp.,000DRP-E,cintas corp,IQ260725
298838,"JAKKS Pacific, Inc.",00173D-E,jakks pacific inc,IQ371382
218642,"The Descartes Systems Group, Inc.",002ZH3-E,the descartes systems group inc,IQ35352
21046367,"Petco Health & Wellness Company, Inc.",0N5VG5-E,petco health wellness inc,IQ696961387
1096494,"Micron Technology, Inc.",000PZY-E,micron technology inc,IQ289030
1233064,"United Natural Foods, Inc.",001BYF-E,united natural foods inc,IQ365303
688100,"Globalstar, Inc.",008GDZ-E,globalstar inc,IQ1611542
341072,Masimo Corp.,001DY1-E,masimo corp,IQ31167
851738,Northrop Grumman Corp.,0034R9-E,northrop grumman corp,IQ97199
1437038,Royal Caribbean Group,001JWC-E,royal caribbean group,IQ325643
22142055,"AptarGroup, Inc.",000C80-E,aptargroup inc,IQ326230
1013753,"United Rentals, Inc.",0025FY-E,united rentals inc,IQ36005
255680,Bruker Corp.,002X70-E,bruker corp,IQ527317
771437,"AutoZone, Inc.",0011SR-E,autozone inc,IQ25307
22144432,"Fresh Del Monte Produce, Inc.",002BMT-E,fresh del monte produce inc,IQ368607
652578,"TechTarget, Inc.",005YPB-E,techtarget inc,IQ681443
613374,"Booking Holdings, Inc.",0029GL-E,booking holdings inc,IQ33254
20928402,American Water,009KX0-E,american water,IQ250885
832829,"LSI Industries, Inc.",000P9R-E,lsi industries inc,IQ283721
1440281,"Fate Therapeutics, Inc.",070JFC-E,fate therapeutics inc,IQ39268712
519135,"Aquestive Therapeutics, Inc.",00988N-E,aquestive therapeutics inc,IQ8142504
154670,"Synopsys, Inc.",000X5K-E,synopsys inc,IQ35028
795059,"Under Armour, Inc.",067DXX-E,under armour inc,IQ8740684
20930457,"Zillow Group, Inc.",00GB72-E,zillow group inc,IQ20523038
22255782,Xerox Holdings Corp.,0KQSGV-E,xerox holdings corp,IQ9870622
101069,"Health Catalyst, Inc.",0CHDN2-E,health catalyst inc,IQ118171469
22142476,3M (Schweiz) GmbH,000Q29-E,3m gmbh,IQ306133833
22142436,"The Manitowoc Co., Inc.",000PF5-E,the manitowoc co inc,IQ286163
1006006,"Chipotle Mexican Grill, Inc.",005RBG-E,chipotle mexican grill inc,IQ26446
1384163,"Amneal Pharmaceuticals, Inc.",0HNM9J-E,amneal pharmaceuticals inc,IQ38444119
1142315,"SelectQuote, Inc.",062FGK-E,selectquote inc,IQ431836784
965023,VolitionRX Ltd.,0C3W4B-E,volitionrx ltd,IQ113678246
614617,"Advance Auto Parts, Inc.",003CZW-E,advance auto parts inc,IQ24333
984437,"Athenex, Inc.",00695P-E,athenex inc,IQ23828956
50160,Ultralife Corp.,000Y0Q-E,ultralife corp,IQ322457
1167052,Kellogg Co.,000NH1-E,kellogg co,IQ283356
356691,"Amyris, Inc.",008CMY-E,amyris inc,IQ27742428
22142740,TrustCo Bank Corp. NY,000XY7-E,trustco bank corp ny,IQ309510
1433807,"Principal Financial Group, Inc.",001K97-E,principal financial group inc,IQ201105
441320,"Staples, Inc.",000WVZ-E,staples inc,IQ34740
1432740,nVent Electric Plc,0HKMQP-E,nvent electric plc,IQ542155250
626759,"QUALCOMM, Inc.",000V67-E,qualcomm inc,IQ33493
1080000,"GlycoMimetics, Inc.",062RZ9-E,glycomimetics inc,IQ5703481
292477,"Conifer Holdings, Inc.",00CTFV-E,conifer holdings inc,IQ113976574
1165512,"EMCOR Group, Inc.",000J03-E,emcor group inc,IQ28014
1254690,KB Home,000NGP-E,kb home,IQ283234
830743,"Ardelyx, Inc.",07ZN4D-E,ardelyx inc,IQ58915635
943206,Apyx Medical Corp.,000C47-E,apyx medical corp,IQ250771
22143839,"Coffee Holding Co., Inc.",001NTP-E,coffee holding co inc,IQ1002679
22230411,TimkenSteel Corp.,0DL4HD-E,timkensteel corp,IQ256837003
32027,"Revance Therapeutics, Inc.",008ZWN-E,revance therapeutics inc,IQ9344828
231481,"Medifast, Inc.",001B9K-E,medifast inc,IQ360876
363317,"Lyft, Inc.",07V3WZ-E,lyft inc,IQ58995029
1494801,Emerson Electric Co.,000J0M-E,emerson electric co,IQ269231
185214,"RealPage, Inc.",05MFQW-E,realpage inc,IQ120406
1117433,Curtiss-Wright Corp.,000FG7-E,curtisswright corp,IQ265386
762166,Goodyear Tire & Rubber Co.,000L54-E,goodyear tire rubber co,IQ275789
12105,"REV Group, Inc.",0B0J0G-E,rev group inc,IQ113541117
22255068,"GTY Technology Holdings, Inc.",0KJ9T9-E,gty technology holdings inc,IQ402863600
358207,"HCI Group, Inc.",0099GV-E,hci group inc,IQ44263243
1379680,Preformed Line Products Co.,0037HD-E,preformed line products co,IQ3175918
983784,Infinera Corp.,00694W-E,infinera corp,IQ2527714
53443,"NortonLifeLock, Inc.",000X58-E,nortonlifelock inc,IQ35000
1387559,Modine Manufacturing Co.,000Q4W-E,modine manufacturing co,IQ288838
7961131,"The Travelers Cos., Inc.",000WV4-E,the travelers cos inc,IQ3736454
543448,JPMorgan Chase & Co.,0035K2-E,jpmorgan chase co,IQ658776
1392010,"Selective Insurance Group, Inc.",00130Z-E,selective insurance group inc,IQ302804
20930520,"Lumentum Holdings, Inc.",00GMW7-E,lumentum holdings inc,IQ272054403
833165,"Cemtrex, Inc.",0033TL-E,cemtrex inc,IQ1233961
1212052,"Qorvo, Inc.",0DX8BF-E,qorvo inc,IQ33821
370332,"ResMed, Inc.",0011QQ-E,resmed inc,IQ340196
250717,"iHeartMedia, Inc.",0794G2-E,iheartmedia inc,IQ92768
654258,"Five9, Inc.",064TYD-E,five9 inc,IQ6491418
142067,"cbdMD, Inc.",0FM3GR-E,cbdmd inc,IQ593762098
355889,Pentair Plc,00DXNY-E,pentair plc,IQ295688
22243162,"IQVIA Holdings, Inc.",0GKVG7-E,iqvia holdings inc,IQ137473239
22148827,"Q2 Holdings, Inc.",009KPH-E,q2 holdings inc,IQ44263730
22247866,"Harmony Biosciences Holdings, Inc.",0HH47P-E,harmony biosciences holdings inc,IQ679038073
1176247,athenahealth Inc,005TLP-E,athenahealth inc,IQ108253
1300095,"Globus Medical, Inc.",005YL8-E,globus medical inc,IQ8793244
999273,Portland General Electric Co.,05SWQW-E,portland general electric co,IQ297526
734612,Jazz Pharmaceuticals Plc,0CBRZ9-E,jazz pharmaceuticals plc,IQ6724933
149328,"Celsius Holdings, Inc.",007S8Y-E,celsius holdings inc,IQ32343826
651830,The Middleby Corp.,000Q0V-E,the middleby corp,IQ289062
927829,"FlexShopper, Inc.",00972K-E,flexshopper inc,IQ34107378
389543,"Arbor Realty Trust, Inc.",004S84-E,arbor realty trust inc,IQ6207506
385675,Ralph Lauren Corp.,001MY1-E,ralph lauren corp,IQ362220
763902,Reliance Steel & Aluminum Co.,0019QP-E,reliance steel aluminum co,IQ331205
1058616,The Coca-Cola Co.,000DWY-E,the cocacola co,IQ26642
794052,"Armstrong World Industries, Inc.",000C9Q-E,armstrong world industries inc,IQ3023697
434721,"USANA Health Sciences, Inc.",0015SQ-E,usana health sciences inc,IQ367118
1167604,The AES Corp.,0013FQ-E,the aes corp,IQ35312
302157,"Rocket Pharmaceuticals, Inc.",0HVK3K-E,rocket pharmaceuticals inc,IQ427906624
22266659,"ChargePoint Holdings, Inc.",0NDD6P-E,chargepoint holdings inc,IQ51174327
454261,"Motorcar Parts of America, Inc.",0010DM-E,motorcar parts of america inc,IQ340577
502654,"Extreme Networks, Inc.",002BMR-E,extreme networks inc,IQ28374
1247736,"BioMarin Pharmaceutical, Inc.",002GTF-E,biomarin pharmaceutical inc,IQ25605
1359692,"Amazon.com, Inc.",001MF1-E,amazoncom inc,IQ18749
906797,"Amgen, Inc.",000C35-E,amgen inc,IQ24816
22239946,"Zions Bancorporation, NA",0G2DJ3-E,zions bancorporation na,
243649,"PulteGroup, Inc.",000V2H-E,pultegroup inc,IQ294550
1291760,"Atossa Therapeutics, Inc.",00CHS1-E,atossa therapeutics inc,IQ100256926
1206531,"Nature's Sunshine Products, Inc.",000R4B-E,natures sunshine products inc,IQ290703
831884,"Shoe Carnival, Inc.",000WFD-E,shoe carnival inc,IQ324135
534729,"Baxter International, Inc.",000CNJ-E,baxter international inc,IQ254571
628216,"Tabula Rasa Healthcare, Inc.",0FZVXR-E,tabula rasa healthcare inc,IQ280866057
359449,Eli Lilly & Co.,000P56-E,eli lilly co,IQ285467
22248482,Jamf Holding Corp.,0HMD2R-E,jamf holding corp,IQ543630982
963081,"Thor Industries, Inc.",000XQB-E,thor industries inc,IQ308299
907610,Adaptive Biotechnologies Corp.,0DMSKV-E,adaptive biotechnologies corp,IQ100147173
1468159,Sabre Corp.,09LDT7-E,sabre corp,IQ254517933
22149981,"Floor & Decor Holdings, Inc.",00CXPW-E,floor decor holdings inc,IQ270357747
22142041,American Vanguard Corp.,000C28-E,american vanguard corp,IQ250532
1370175,"Analog Devices, Inc.",000C4B-E,analog devices inc,IQ251411
67675,"Zimmer Biomet Holdings, Inc.",0036P0-E,zimmer biomet holdings inc,IQ264048
1236002,"Power Integrations, Inc.",001SBH-E,power integrations inc,IQ33163
433379,Duke Energy Corp.,06F9DV-E,duke energy corp,IQ607518209
213410,"Remark Holdings, Inc.",009345-E,remark holdings inc,IQ30741328
478711,"CareCloud, Inc.",06NJVF-E,carecloud inc,IQ7828151
1208331,"Box, Inc.",008K6T-E,box inc,IQ111649895
20957087,"Mastercraft Boat Holdings, Inc.",06Y1LP-E,mastercraft boat holdings inc,IQ214080574
996015,CTS Corp.,000FFH-E,cts corp,IQ258010
864694,"Electronic Arts, Inc.",000HZ5-E,electronic arts inc,IQ27963
941029,"FormFactor, Inc.",003KND-E,formfactor inc,IQ28648
600323,"NovaBay Pharmaceuticals, Inc.",0090SN-E,novabay pharmaceuticals inc,IQ32625201
975721,AppLovin Corp.,0DY159-E,applovin corp,IQ231651802
654362,"Infinity Pharmaceuticals, Inc.",05X0X5-E,infinity pharmaceuticals inc,IQ1208927
1345140,"Biodesix, Inc.",00BBVP-E,biodesix inc,IQ36508169
1454162,"Endurance International Group Holdings, Inc.",07FNZD-E,endurance international group holdings inc,IQ633628103
1524533,"Cars.com, Inc.",0GJ20X-E,carscom inc,IQ7612672
1112205,"Universal Electronics, Inc.",000Y5V-E,universal electronics inc,IQ36038
472640,Oracle Corp.,000SY8-E,oracle corp,IQ22247
1390353,"FARO Technologies, Inc.",001R9J-E,faro technologies inc,IQ365602
1326670,EMCORE Corp.,001G3Z-E,emcore corp,IQ28015
1008117,NCR Corp.,001CKB-E,ncr corp,IQ169308
22142077,"Applied Industrial Technologies, Inc.",000CPM-E,applied industrial technologies inc,IQ254679
380984,"Rhythm Pharmaceuticals, Inc.",00FMDK-E,rhythm pharmaceuticals inc,IQ309184792
732675,"Advanced Drainage Systems, Inc.",062SK6-E,advanced drainage systems inc,IQ24355
1442074,"OneSpan, Inc.",001SDK-E,onespan inc,IQ385488
647711,Denny's Corp.,003G45-E,dennys corp,IQ28565
31453,"LightPath Technologies, Inc.",0016B6-E,lightpath technologies inc,IQ351646
1123738,"Axcelis Technologies, Inc.",002XS0-E,axcelis technologies inc,IQ416350
1445985,"Hudson Global, Inc.",0046GC-E,hudson global inc,IQ4863435
1348064,"Interpublic Group of Cos., Inc.",000N2T-E,interpublic group of cos inc,
927555,Data I/O Corp.,000FJ4-E,data io corp,IQ27369
379,"Tactile Systems Technology, Inc.",0068L2-E,tactile systems technology inc,IQ6233509
1339131,"OncoSec Medical, Inc.",00BG5W-E,oncosec medical inc,IQ47899619
683149,"Collegium Pharmaceutical, Inc.",00772J-E,collegium pharmaceutical inc,IQ7490189
615678,Alliant Energy Corp.,002KG0-E,alliant energy corp,IQ312949
22258387,Repay Holdings Corp.,0L7XNM-E,repay holdings corp,IQ599247105
697646,"InterDigital, Inc.",000N0T-E,interdigital inc,IQ280910
7967251,"InfuSystem Holdings, Inc.",009QXF-E,infusystem holdings inc,IQ24331721
1050907,"Intuit, Inc.",0011HX-E,intuit inc,IQ21171
578860,"Sequential Brands Group, Inc.",0FP6ZJ-E,sequential brands group inc,IQ24950477
1188053,"BJ's Restaurants, Inc.",00199X-E,bjs restaurants inc,IQ374469
22142290,"Franklin Electric Co., Inc.",000KQK-E,franklin electric co inc,IQ273729
708822,AAR Corp.,000BFS-E,aar corp,IQ168154
210447,"Model N, Inc.",062YCW-E,model n inc,IQ141189
13704,"Infoblox, Inc.",004D71-E,infoblox inc,IQ523176
350828,"International Flavors & Fragrances, Inc.",000N1Z-E,international flavors fragrances inc,IQ281407
995431,"iCAD, Inc.",05JLV2-E,icad inc,IQ279728
155638,CONMED Corp.,000F3M-E,conmed corp,IQ263232
603230,"Cincinnati Bell, Inc.",000DRG-E,cincinnati bell inc,IQ168151
1475870,"Magna International, Inc.",000PCN-E,magna international inc,IQ285880
1489898,"Paratek Pharmaceuticals, Inc.",0DYXH5-E,paratek pharmaceuticals inc,IQ1267824
800198,Korn Ferry (800198),0025XP-E,korn ferry,IQ396922
548312,"Harmonic, Inc.",0011N7-E,harmonic inc,IQ29282
723539,"Super Micro Computer, Inc.",008MS1-E,super micro computer inc,IQ6479558
1078498,"DZS, Inc.",0G7L5S-E,dzs inc,IQ301213735
871779,Federal Home Loan Mortgage Corp.,001DKD-E,federal home loan mortgage corp,IQ51443337
1214131,"La-Z-Boy, Inc.",000NYB-E,lazboy inc,IQ284766
187634,SolarWinds Corp.,0JR0YB-E,solarwinds corp,IQ10004874
267301,"Citigroup, Inc.",0027L0-E,citigroup inc,IQ391687
317413,"Cellular Biomedicine Group, Inc.",0D1159-E,cellular biomedicine group inc,IQ224236494
286162,CDW Corp.,0017ZH-E,cdw corp,IQ332700
27608,"R1 RCM, Inc.",07MJ09-E,r1 rcm inc,IQ27265085
